period,group,horizon,n,active_days,mean_return,mean_market_excess,trim_best5_mean_market_excess,positive_halfyears,negative_halfyears,paired_days,selected_minus_control,expected_signed_difference
development_through_2023,SELECTED_LOW_BASE_IGNITION,1,85309.0,2129.0,-0.001459813570311104,-8.841523792567359e-05,-0.00385699525853738,7.0,11.0,,,
development_through_2023,PAIRED_VS_HIGH_BASE_VOLUME,1,,,,,,,,2067.0,0.0007434677580112189,0.0007434677580112189
development_through_2023,PAIRED_VS_LOW_BASE_NO_VOLUME,1,,,,,,,,1964.0,0.0002507132250638357,0.0002507132250638357
development_through_2023,SELECTED_LOW_BASE_IGNITION,2,85291.0,2129.0,-0.0012471600549415884,-0.0002320118461462228,-0.005426220431581201,5.0,13.0,,,
development_through_2023,PAIRED_VS_HIGH_BASE_VOLUME,2,,,,,,,,2067.0,0.0009390481547071099,0.0009390481547071099
development_through_2023,PAIRED_VS_LOW_BASE_NO_VOLUME,2,,,,,,,,1964.0,0.0001657369002123356,0.0001657369002123356
development_through_2023,SELECTED_LOW_BASE_IGNITION,5,85208.0,2129.0,-0.001960222309186983,-0.0009032122936859145,-0.009707255991722393,8.0,10.0,,,
development_through_2023,PAIRED_VS_HIGH_BASE_VOLUME,5,,,,,,,,2067.0,0.0017929562036190353,0.0017929562036190353
development_through_2023,PAIRED_VS_LOW_BASE_NO_VOLUME,5,,,,,,,,1964.0,-0.000336181733382331,-0.000336181733382331
oos_2024_2026,SELECTED_LOW_BASE_IGNITION,1,26167.0,630.0,-0.000582820295269668,3.744459772591472e-05,-0.0031611590406919977,5.0,1.0,,,
oos_2024_2026,PAIRED_VS_HIGH_BASE_VOLUME,1,,,,,,,,629.0,0.00040139019504151463,0.00040139019504151463
oos_2024_2026,PAIRED_VS_LOW_BASE_NO_VOLUME,1,,,,,,,,593.0,0.0007837369013814253,0.0007837369013814253
oos_2024_2026,SELECTED_LOW_BASE_IGNITION,2,26084.0,629.0,-0.00025452146054748845,-7.14948160900234e-05,-0.004293830862350605,2.0,4.0,,,
oos_2024_2026,PAIRED_VS_HIGH_BASE_VOLUME,2,,,,,,,,628.0,-0.00010448566325945643,-0.00010448566325945643
oos_2024_2026,PAIRED_VS_LOW_BASE_NO_VOLUME,2,,,,,,,,592.0,0.0014435928031081258,0.0014435928031081258
oos_2024_2026,SELECTED_LOW_BASE_IGNITION,5,25933.0,626.0,0.0023290617358996462,-0.0005407713461373521,-0.006994500130634515,2.0,4.0,,,
oos_2024_2026,PAIRED_VS_HIGH_BASE_VOLUME,5,,,,,,,,625.0,-7.093195466081781e-07,-7.093195466081781e-07
oos_2024_2026,PAIRED_VS_LOW_BASE_NO_VOLUME,5,,,,,,,,589.0,0.0018702778515179341,0.0018702778515179341
