delay_bars,arm,exit,cost,period,cagr,max_drawdown,sharpe,active_days,active_win_rate,trade_rows,paired_days,selected_mean,control_mean,selected_minus_control,selected_win_fraction,pnl_corr
0,SELECTED_SUPPORT,OPEN,BASE,all,-0.33893191850801463,-0.8896161068688866,-1.910032622115392,186.0,0.3333333333333333,280.0,,,,,,
0,SELECTED_SUPPORT,OPEN,BASE,development_2021_2023,-0.4735603655132622,-0.8195045949868762,-3.3665980848366424,95.0,0.22105263157894736,140.0,,,,,,
0,SELECTED_SUPPORT,OPEN,BASE,oos_2024_2026,-0.16395016349944436,-0.45945293153111755,-0.6830007137283928,91.0,0.45054945054945056,140.0,,,,,,
0,SELECTED_SUPPORT,OPEN,CONSERVATIVE,all,-0.36469488226060387,-0.9081407334018275,-2.085778788117583,186.0,0.3279569892473118,280.0,,,,,,
0,SELECTED_SUPPORT,OPEN,CONSERVATIVE,development_2021_2023,-0.4941655054425983,-0.8370569613757793,-3.5227072111389965,95.0,0.22105263157894736,140.0,,,,,,
0,SELECTED_SUPPORT,OPEN,CONSERVATIVE,oos_2024_2026,-0.1965246464796695,-0.4928634834850366,-0.8582763416807746,91.0,0.43956043956043955,140.0,,,,,,
0,SELECTED_SUPPORT,10:00,BASE,all,-0.1390170418194442,-0.582734305411569,-0.42004171903043086,186.0,0.42473118279569894,280.0,,,,,,
0,SELECTED_SUPPORT,10:00,BASE,development_2021_2023,-0.21580422488733786,-0.5333081452381419,-0.8705972191936564,95.0,0.4,140.0,,,,,,
0,SELECTED_SUPPORT,10:00,BASE,oos_2024_2026,-0.05186647263324695,-0.45902581882237503,-0.03107501310550524,91.0,0.45054945054945056,140.0,,,,,,
0,SELECTED_SUPPORT,10:00,CONSERVATIVE,all,-0.17257103325273315,-0.6547933035838058,-0.5677935963340084,186.0,0.42473118279569894,280.0,,,,,,
0,SELECTED_SUPPORT,10:00,CONSERVATIVE,development_2021_2023,-0.24649808344140534,-0.57729916206764,-1.0307964635507163,95.0,0.4,140.0,,,,,,
0,SELECTED_SUPPORT,10:00,CONSERVATIVE,oos_2024_2026,-0.08880800183617432,-0.49376711594000566,-0.16772159555312938,91.0,0.45054945054945056,140.0,,,,,,
0,CONTROL_UNSUPPORTED,OPEN,BASE,all,-0.4885698244294383,-0.9731120515710187,-2.1245814808130103,336.0,0.3630952380952381,459.0,,,,,,
0,CONTROL_UNSUPPORTED,OPEN,BASE,development_2021_2023,-0.553797719950347,-0.8790266721084137,-2.722545669124613,195.0,0.3487179487179487,255.0,,,,,,
0,CONTROL_UNSUPPORTED,OPEN,BASE,oos_2024_2026,-0.41238425640201926,-0.7777365564988196,-1.5632123130839861,141.0,0.3829787234042553,204.0,,,,,,
0,CONTROL_UNSUPPORTED,OPEN,CONSERVATIVE,all,-0.5240075948560825,-0.98115278300298,-2.3553458748924867,336.0,0.3482142857142857,459.0,,,,,,
0,CONTROL_UNSUPPORTED,OPEN,CONSERVATIVE,development_2021_2023,-0.5889081375516527,-0.9023821407496189,-2.9920120958724716,195.0,0.3384615384615385,255.0,,,,,,
0,CONTROL_UNSUPPORTED,OPEN,CONSERVATIVE,oos_2024_2026,-0.44747680350791774,-0.8069285974743768,-1.755871698982953,141.0,0.3617021276595745,204.0,,,,,,
0,CONTROL_UNSUPPORTED,10:00,BASE,all,-0.4531968356343101,-0.9724390803822858,-1.3260817482847742,336.0,0.4226190476190476,459.0,,,,,,
0,CONTROL_UNSUPPORTED,10:00,BASE,development_2021_2023,-0.5258303641027182,-0.8581616346311747,-1.6131838913182106,195.0,0.4,255.0,,,,,,
0,CONTROL_UNSUPPORTED,10:00,BASE,oos_2024_2026,-0.36757285738829726,-0.8064571701317278,-1.0062050077217481,141.0,0.45390070921985815,204.0,,,,,,
0,CONTROL_UNSUPPORTED,10:00,CONSERVATIVE,all,-0.4910856539578202,-0.9803812397665704,-1.5046895389577175,336.0,0.4107142857142857,459.0,,,,,,
0,CONTROL_UNSUPPORTED,10:00,CONSERVATIVE,development_2021_2023,-0.563141455225695,-0.8855453691471018,-1.8086801155200667,195.0,0.38974358974358975,255.0,,,,,,
