arm,delay_bars,instrument,signal_date,trade_date,exit_date,signal_ret20,signal_hit_count20,industry_code,trigger_datetime,entry_datetime,entry_price,touch_pos,break_pos,market_median_ret,peer_median_ret,peer_positive_ratio,peer_n,exit_open,exit_0935,exit_0940,exit_0945,exit_1000,rank,net_return
SELECTED_SUPPORT,0,SH601919,2021-05-14,2021-05-17,2021-05-18,0.31495520330806337,1.0,G55,2021-05-17 13:30:00,2021-05-17 13:35:00,20.98,26,27,0.0008917411175746182,0.0030674846625766694,0.5384615384615384,13,21.4,21.76,21.49,21.4,21.45,1,0.019848708878101418
SELECTED_SUPPORT,0,SH603799,2021-05-14,2021-05-17,2021-05-18,0.08703810623556585,1.0,C32,2021-05-17 13:30:00,2021-05-17 13:35:00,82.79,21,25,0.0008917411175746182,0.01317579381877998,0.8125,16,84.0,82.89,82.21,83.46,84.1,2,0.013286020220386163
SELECTED_SUPPORT,0,SZ000718,2021-05-21,2021-05-24,2021-05-25,0.695198329853862,9.0,K70,2021-05-24 14:00:00,2021-05-24 14:05:00,8.93,28,32,0.0012531347999302778,0.0022900763358779663,0.6451612903225806,31,8.81,9.13,9.54,9.54,9.54,1,0.0656408335381633
SELECTED_SUPPORT,0,SH600085,2021-05-25,2021-05-26,2021-05-27,0.2858117326057299,2.0,C27,2021-05-26 11:10:00,2021-05-26 11:15:00,41.46,2,18,0.0021392821392821615,0.004716981132075304,0.6,55,41.05,41.3,41.15,41.17,42.06,1,0.011938008460159244
SELECTED_SUPPORT,0,SH600779,2021-06-02,2021-06-03,2021-06-04,0.23900293255131966,2.0,C15,2021-06-03 11:10:00,2021-06-03 11:15:00,139.43,16,18,0.0026581605528974706,0.03179972936400555,1.0,17,133.0,134.29,135.99,136.67,137.0,1,-0.019882197705720306
SELECTED_SUPPORT,0,SH600460,2021-06-22,2021-06-23,2021-06-24,0.36520376175548575,3.0,C39,2021-06-23 13:30:00,2021-06-23 13:35:00,57.48,21,22,0.0006314859561773467,0.017980636237897585,0.7901234567901234,81,55.0,55.93,56.79,56.2,55.88,1,-0.03026387207774539
SELECTED_SUPPORT,0,SH600985,2021-06-24,2021-06-25,2021-06-28,0.09795191451469276,1.0,B06,2021-06-25 13:20:00,2021-06-25 13:25:00,13.55,4,5,0.004603637996855925,0.03388746803069065,1.0,9,12.73,12.34,12.4,12.28,12.2,1,-0.10187978176449741
SELECTED_SUPPORT,0,SH600111,2021-07-09,2021-07-12,2021-07-13,0.3859076061595894,3.0,C32,2021-07-12 10:25:00,2021-07-12 10:30:00,32.67,0,5,0.00873223734885753,0.028315725801234426,0.8125,16,32.8,32.61,33.02,32.01,32.72,1,-0.0009709928996385342
SELECTED_SUPPORT,0,SH600141,2021-07-09,2021-07-12,2021-07-13,0.1329479768786126,1.0,C26,2021-07-12 10:30:00,2021-07-12 10:35:00,23.72,1,10,0.008512009963644318,0.01805425644167602,0.9411764705882353,34,23.95,24.3,24.02,24.13,24.08,2,0.012641532658173027
SELECTED_SUPPORT,0,SH601877,2021-07-09,2021-07-12,2021-07-13,-0.010243277848911547,1.0,C38,2021-07-12 13:15:00,2021-07-12 13:20:00,34.01,24,25,0.007829977628635465,0.0103420843277644,0.7428571428571429,35,33.44,32.73,33.18,33.6,32.85,3,-0.03652005379217915
SELECTED_SUPPORT,0,SH600259,2021-07-14,2021-07-15,2021-07-16,0.23459426479560697,2.0,B09,2021-07-15 14:15:00,2021-07-15 14:20:00,44.51,34,35,0.0012469525847056406,0.016507258173924733,0.8333333333333334,12,43.0,44.15,44.55,43.81,44.6,1,-0.0004806591882804412
SELECTED_SUPPORT,0,SZ002129,2021-07-14,2021-07-15,2021-07-16,0.42260869565217396,1.0,C38,2021-07-15 14:35:00,2021-07-15 14:40:00,44.97,35,41,0.0017051281579130162,0.001781623822855627,0.5142857142857142,35,44.99,44.96,45.8,46.18,45.57,2,0.010811277781981543
SELECTED_SUPPORT,0,SH600392,2021-07-15,2021-07-16,2021-07-19,0.44595429277331666,3.0,C32,2021-07-16 13:05:00,2021-07-16 13:10:00,25.75,11,12,0.0012510838161597926,0.02312958780350083,0.875,16,24.57,24.79,24.59,24.5,25.14,1,-0.026127779782685656
SELECTED_SUPPORT,0,SH600111,2021-07-20,2021-07-21,2021-07-22,0.75732421875,5.0,C32,2021-07-21 13:50:00,2021-07-21 13:55:00,39.57,29,31,2.6756568737629216e-05,0.028589508017680898,0.875,16,40.37,40.26,39.7,39.92,39.22,1,-0.011320619410483457
SELECTED_SUPPORT,0,SH603290,2021-07-20,2021-07-21,2021-07-22,0.21172297297297304,1.0,C39,2021-07-21 14:30:00,2021-07-21 14:35:00,394.53,39,40,0.0008222074972368265,0.007326954572881572,0.6666666666666666,81,391.88,386.5,385.5,387.27,391.0,2,-0.011422634397806775
SELECTED_SUPPORT,0,SH600703,2021-07-20,2021-07-21,2021-07-22,0.0706781279847184,1.0,C39,2021-07-21 14:50:00,2021-07-21 14:55:00,36.98,23,32,0.0009654701879374672,0.005631536604987941,0.6172839506172839,81,36.6,36.22,36.59,36.57,36.78,3,-0.00789244730911387
SELECTED_SUPPORT,0,SH600010,2021-07-21,2021-07-22,2021-07-23,0.5192307692307692,6.0,C31,2021-07-22 11:10:00,2021-07-22 11:15:00,2.6,9,10,0.002324263038548713,0.0405706793871341,1.0,20,2.71,2.75,2.77,2.8,2.73,1,0.047377492208656946
SELECTED_SUPPORT,0,SH600338,2021-07-21,2021-07-22,2021-07-23,0.7891012031139419,4.0,B09,2021-07-22 13:15:00,2021-07-22 13:20:00,27.8,24,25,0.0028293128011397384,0.00730690905927045,0.75,12,27.51,29.41,29.15,29.23,29.38,2,0.05419495447380407
SELECTED_SUPPORT,0,SH600703,2021-07-21,2021-07-22,2021-07-23,0.1283950617283951,2.0,C39,2021-07-22 14:25:00,2021-07-22 14:30:00,40.21,38,39,0.0033736297296733664,0.00628436763550666,0.5555555555555556,81,40.59,40.15,39.98,40.24,40.38,3,0.0017196180856591248
SELECTED_SUPPORT,0,SH600111,2021-07-28,2021-07-29,2021-07-30,0.9043478260869566,6.0,C32,2021-07-29 10:50:00,2021-07-29 10:55:00,43.35,13,14,0.0045787545787545625,0.027939390910797557,0.9375,16,44.36,45.03,44.77,45.03,44.35,1,0.020512808907649616
SELECTED_SUPPORT,0,SH603806,2021-07-28,2021-07-29,2021-07-30,0.05374298487586793,2.0,C29,2021-07-29 13:20:00,2021-07-29 13:25:00,121.85,23,24,0.007352941176470562,0.022954091816367317,0.8571428571428571,7,121.86,127.39,130.29,132.5,129.77,2,0.06233798123311174
SELECTED_SUPPORT,0,SH600745,2021-07-28,2021-07-29,2021-07-30,-0.04798761609907132,1.0,C39,2021-07-29 13:40:00,2021-07-29 13:45:00,101.45,24,28,0.008995037220843605,0.02320819112627981,0.8765432098765432,81,102.0,105.11,105.8,105.22,104.52,3,0.027688004746873496
SELECTED_SUPPORT,0,SH603939,2021-08-09,2021-08-10,2021-08-11,-0.4762365591397849,1.0,F52,2021-08-10 14:50:00,2021-08-10 14:55:00,53.58,41,44,0.0027700831024930483,0.008007928089956762,0.75,16,53.03,52.9,54.4,54.02,53.41,1,-0.005662527615770574
SELECTED_SUPPORT,0,SH600383,2021-08-10,2021-08-11,2021-08-12,-0.001988071570576677,1.0,K70,2021-08-11 10:10:00,2021-08-11 10:15:00,11.03,0,6,0.0014841057066257157,0.028490028490028463,0.896551724137931,29,10.5,10.5,10.54,10.42,10.44,1,-0.055854507735752734
SELECTED_SUPPORT,0,SH603379,2021-08-13,2021-08-16,2021-08-17,0.11010421386497504,2.0,C26,2021-08-16 10:05:00,2021-08-16 10:10:00,26.95,0,3,0.004039044092897903,0.007357102433503071,0.6666666666666666,33,25.02,24.26,24.35,24.26,24.26,1,-0.10206279844572763
SELECTED_SUPPORT,0,SH601555,2021-08-17,2021-08-18,2021-08-19,0.18159509202453994,2.0,J67,2021-08-18 13:35:00,2021-08-18 13:40:00,10.57,25,29,0.004156416705823784,0.04562268803945768,1.0,41,10.75,11.06,10.9,10.68,10.59,1,-0.0006102047583296244
SELECTED_SUPPORT,0,SH600699,2021-08-20,2021-08-23,2021-08-24,-0.0494505494505495,1.0,C36,2021-08-23 10:20:00,2021-08-23 10:25:00,28.53,7,8,0.007787154479761416,0.010430858310626623,0.875,24,27.1,27.35,27.12,27.0,26.47,1,-0.07452198291645717
SELECTED_SUPPORT,0,SZ000629,2021-08-20,2021-08-23,2021-08-24,0.18214285714285716,2.0,C32,2021-08-23 10:40:00,2021-08-23 10:45:00,3.64,1,6,0.007476661635641979,0.013347916989313924,0.8125,16,3.75,3.9,3.94,4.0,4.0,2,0.09615645443082887
SELECTED_SUPPORT,0,SH603260,2021-08-20,2021-08-23,2021-08-24,0.41859127934834706,3.0,C26,2021-08-23 13:05:00,2021-08-23 13:10:00,162.83,7,23,0.008336369463279647,0.012638230647709303,0.8181818181818182,33,160.0,169.0,172.88,173.49,174.8,3,0.0708310194276427
SELECTED_SUPPORT,0,SH600010,2021-08-23,2021-08-24,2021-08-25,0.050193050193050315,3.0,C31,2021-08-24 13:10:00,2021-08-24 13:15:00,2.98,14,15,0.001968992248062018,0.028810890330066563,0.95,20,3.05,3.03,3.07,3.07,3.0,1,0.004197020334282708
SELECTED_SUPPORT,0,SH601958,2021-08-23,2021-08-24,2021-08-25,0.09695290858725758,1.0,B09,2021-08-24 14:00:00,2021-08-24 14:05:00,8.69,8,32,0.0023740285503350833,0.01794340924775706,0.9090909090909091,11,8.66,8.69,8.64,8.64,8.81,2,0.011276859702807895
SELECTED_SUPPORT,0,SH600160,2021-08-24,2021-08-25,2021-08-26,0.03385631709331127,0.0,C26,2021-08-25 14:10:00,2021-08-25 14:15:00,13.77,35,36,0.0012391649839922358,0.01094605160281481,0.5454545454545454,33,14.0,14.06,14.37,14.54,14.64,1,0.06052539931076795
SELECTED_SUPPORT,0,SZ002120,2021-08-27,2021-08-30,2021-08-31,0.1372699386503069,1.0,G60,2021-08-30 10:05:00,2021-08-30 10:10:00,16.3,0,5,0.0015372704111094038,0.03136714953487296,1.0,4,15.73,15.84,15.77,15.71,15.31,1,-0.0630821264554754
SELECTED_SUPPORT,0,SH600061,2021-08-30,2021-08-31,2021-09-01,0.12057667103538683,1.0,J67,2021-08-31 13:45:00,2021-08-31 13:50:00,9.4,27,28,0.0006389865004921003,0.010366826156299913,0.9069767441860465,43,9.1,9.03,8.97,9.0,9.05,1,-0.03963867229094764
SELECTED_SUPPORT,0,SH600039,2021-08-30,2021-08-31,2021-09-01,0.11908646003262646,2.0,E48,2021-08-31 14:40:00,2021-08-31 14:45:00,7.55,23,39,0.003763684516138177,0.02402402402402415,0.8666666666666667,15,7.44,7.58,7.46,7.53,7.72,2,0.019962691876484806
SELECTED_SUPPORT,0,SH601618,2021-08-30,2021-08-31,2021-09-01,0.21333333333333337,3.0,E48,2021-08-31 14:40:00,2021-08-31 14:45:00,4.99,41,42,0.003763684516138177,0.02402402402402415,0.8666666666666667,15,5.05,5.22,5.12,5.21,5.15,3,0.029486417573162393
SELECTED_SUPPORT,0,SH600383,2021-08-31,2021-09-01,2021-09-02,0.21962616822429903,3.0,K70,2021-09-01 10:55:00,2021-09-01 11:00:00,11.47,12,13,0.002115160589254317,0.01183431952662728,0.8275862068965517,29,11.69,11.7,11.8,11.95,12.05,1,0.04794277254239354
SELECTED_SUPPORT,0,SZ002120,2021-08-31,2021-09-01,2021-09-02,0.1264619883040936,1.0,G60,2021-09-01 13:15:00,2021-09-01 13:20:00,16.94,20,25,0.010877932997835238,0.05108715823332932,1.0,4,17.15,17.25,17.11,17.07,17.11,2,0.007512727929955609
SELECTED_SUPPORT,0,SZ000877,2021-08-31,2021-09-01,2021-09-02,0.14607614607614616,1.0,C30,2021-09-01 13:25:00,2021-09-01 13:30:00,16.22,26,27,0.010033557046979835,0.04020655270655271,0.7777777777777778,18,16.67,16.62,16.33,16.64,16.35,3,0.0054971521115347866
SELECTED_SUPPORT,0,SH600166,2021-09-01,2021-09-02,2021-09-03,-0.02375296912114011,0.0,C36,2021-09-02 10:50:00,2021-09-02 10:55:00,4.52,11,12,0.0006111379369889702,0.006900759752785035,0.7083333333333334,24,4.5,4.58,4.58,4.52,4.52,1,-0.0024976264679457127
