board_stage,regime,delay_bars,cost,period,trade_rows,active_days,cagr,max_drawdown,sharpe,active_win_rate
FIRST,NON_WEAK,0,BASE,all,136,94,-0.0964853929548164,-0.42336464976673205,-0.48671155338792804,0.4574468085106383
FIRST,NON_WEAK,0,BASE,development_2021_2023,136,51,-0.13428164165556855,-0.4011593871161756,-0.6871794477251696,0.47058823529411764
FIRST,NON_WEAK,0,BASE,oos_2024_2026,136,43,-0.05587750138722658,-0.156635166710003,-0.2574603699980306,0.4418604651162791
FIRST,NON_WEAK,0,CONSERVATIVE,all,136,94,-0.11445541058341946,-0.4788663644194061,-0.5994343515293261,0.4574468085106383
FIRST,NON_WEAK,0,CONSERVATIVE,development_2021_2023,136,51,-0.15264050023938747,-0.4307081936915479,-0.8004019017800981,0.47058823529411764
FIRST,NON_WEAK,0,CONSERVATIVE,oos_2024_2026,136,43,-0.07344178985701855,-0.1923841882384416,-0.369337933122555,0.4418604651162791
FIRST,NON_WEAK,1,BASE,all,125,88,-0.04923351372437379,-0.46217437040736886,-0.18625655699591143,0.4431818181818182
FIRST,NON_WEAK,1,BASE,development_2021_2023,125,50,-0.1531646387603609,-0.46217437040736886,-0.8353071566139736,0.42
FIRST,NON_WEAK,1,BASE,oos_2024_2026,125,38,0.0720639490962014,-0.17410593464186697,0.4740504289545693,0.47368421052631576
FIRST,NON_WEAK,1,CONSERVATIVE,all,125,88,-0.06694763831188011,-0.4887124928362727,-0.29005625288875264,0.4318181818181818
FIRST,NON_WEAK,1,CONSERVATIVE,development_2021_2023,125,50,-0.17077460840993186,-0.4887124928362727,-0.9480674027664475,0.4
FIRST,NON_WEAK,1,CONSERVATIVE,oos_2024_2026,125,38,0.05441938984734729,-0.17863598842869055,0.38412616574322933,0.47368421052631576
FIRST,WEAK,0,BASE,all,83,62,0.039748471196409785,-0.2362619539752585,0.3701793363865095,0.45161290322580644
FIRST,WEAK,0,BASE,development_2021_2023,83,30,-0.007186333093299635,-0.1687746457787841,0.0007049445303151846,0.4
FIRST,WEAK,0,BASE,oos_2024_2026,83,32,0.09105693227295197,-0.23626195397525862,0.707682108910137,0.5
FIRST,WEAK,0,CONSERVATIVE,all,83,62,0.026062193857569138,-0.2512355878178546,0.2672861084961455,0.45161290322580644
FIRST,WEAK,0,CONSERVATIVE,development_2021_2023,83,30,-0.01962569199475095,-0.1796751793602842,-0.104790791754908,0.4
FIRST,WEAK,0,CONSERVATIVE,oos_2024_2026,83,32,0.07591534285391388,-0.25123558781785427,0.6083382892369354,0.5
FIRST,WEAK,1,BASE,all,90,66,0.0040705597860055676,-0.24171067105821764,0.09721233740691271,0.48484848484848486
FIRST,WEAK,1,BASE,development_2021_2023,90,32,-0.025749721795916836,-0.1580522590447928,-0.1403114511831038,0.4375
FIRST,WEAK,1,BASE,oos_2024_2026,90,34,0.03604342953150308,-0.24171067105821753,0.34647523634469723,0.5294117647058824
FIRST,WEAK,1,CONSERVATIVE,all,90,66,-0.009992785896299705,-0.2683770966877699,-0.014689887266145549,0.48484848484848486
FIRST,WEAK,1,CONSERVATIVE,development_2021_2023,90,32,-0.038764838228764975,-0.1781837275111181,-0.24584232675485343,0.4375
FIRST,WEAK,1,CONSERVATIVE,oos_2024_2026,90,34,0.020773334434391,-0.25657747888247284,0.2288819221457697,0.5294117647058824
SECOND,NON_WEAK,0,BASE,all,37,30,-0.12746042306205474,-0.5184200049933372,-1.0224286605695483,0.26666666666666666
SECOND,NON_WEAK,0,BASE,development_2021_2023,37,14,-0.09470172382327646,-0.25120315977450425,-0.9013502093385871,0.2857142857142857
SECOND,NON_WEAK,0,BASE,oos_2024_2026,37,16,-0.16074337740118694,-0.41054947795592434,-1.1380050684943654,0.25
SECOND,NON_WEAK,0,CONSERVATIVE,all,37,30,-0.13303682861206567,-0.5325130600760293,-1.0645172431411751,0.26666666666666666
SECOND,NON_WEAK,0,CONSERVATIVE,development_2021_2023,37,14,-0.10001285438085872,-0.2602094000836488,-0.9491115016169979,0.2857142857142857
SECOND,NON_WEAK,0,CONSERVATIVE,oos_2024_2026,37,16,-0.1665872873000379,-0.41891883182135226,-1.1768049570900776,0.25
SECOND,NON_WEAK,1,BASE,all,36,29,-0.10502427026016725,-0.43510873340225675,-0.8470939979299391,0.27586206896551724
SECOND,NON_WEAK,1,BASE,development_2021_2023,36,13,-0.0850074132329437,-0.2074714300455076,-0.7884770543839114,0.3076923076923077
SECOND,NON_WEAK,1,BASE,oos_2024_2026,36,16,-0.12578244109088366,-0.3694341389916658,-0.9077368571331835,0.25
SECOND,NON_WEAK,1,CONSERVATIVE,all,36,29,-0.11055399767860963,-0.4528449619859134,-0.8914689686178698,0.27586206896551724
SECOND,NON_WEAK,1,CONSERVATIVE,development_2021_2023,36,13,-0.0899930433830195,-0.21872445600738777,-0.833673634288833,0.3076923076923077
SECOND,NON_WEAK,1,CONSERVATIVE,oos_2024_2026,36,16,-0.13186979090581663,-0.37838727183127385,-0.9521264374032774,0.25
SECOND,WEAK,0,BASE,all,10,8,-0.01006773413079498,-0.14220465054980624,-0.07194002172866293,0.375
SECOND,WEAK,0,BASE,development_2021_2023,10,3,-0.0036916155838702114,-0.06612322577390262,-0.031845847364825354,0.3333333333333333
SECOND,WEAK,0,BASE,oos_2024_2026,10,5,-0.016693385835906516,-0.14220465054980636,-0.09973327492657255,0.4
SECOND,WEAK,0,CONSERVATIVE,all,10,8,-0.011758810180336199,-0.14408976982734467,-0.09160250975796272,0.375
SECOND,WEAK,0,CONSERVATIVE,development_2021_2023,10,3,-0.004947027649659486,-0.06714997270334222,-0.05304971846814444,0.3333333333333333
SECOND,WEAK,0,CONSERVATIVE,oos_2024_2026,10,5,-0.018838202041225216,-0.14408976982734456,-0.1198452658504632,0.4
SECOND,WEAK,1,BASE,all,11,9,-0.00963746775771479,-0.14182606394589514,-0.05834039702453219,0.4444444444444444
SECOND,WEAK,1,BASE,development_2021_2023,11,4,-0.005225674111655865,-0.05469803611995605,-0.031199294754879998,0.5
SECOND,WEAK,1,BASE,oos_2024_2026,11,5,-0.014242674846872028,-0.14182606394589536,-0.07993652836672914,0.4
SECOND,WEAK,1,CONSERVATIVE,all,11,9,-0.011540554900022815,-0.14371201521780796,-0.07922167662177788,0.4444444444444444
SECOND,WEAK,1,CONSERVATIVE,development_2021_2023,11,4,-0.0068966284271236855,-0.055737344426569746,-0.05336779408781032,0.5
SECOND,WEAK,1,CONSERVATIVE,oos_2024_2026,11,5,-0.016392836612332595,-0.14371201521780796,-0.10039767037498193,0.4
THIRD_PLUS,NON_WEAK,0,BASE,all,10,8,0.024795410699689713,-0.15089616692116248,0.3131598785212301,0.625
THIRD_PLUS,NON_WEAK,0,BASE,development_2021_2023,10,3,0.01931161177574925,-0.06388238791607226,0.32898460772992744,0.6666666666666666
THIRD_PLUS,NON_WEAK,0,BASE,oos_2024_2026,10,5,0.03063479957871329,-0.15089616692116248,0.323347706449612,0.6
THIRD_PLUS,NON_WEAK,0,CONSERVATIVE,all,10,8,0.02304477882873801,-0.15276218543641162,0.29561611806445104,0.625
THIRD_PLUS,NON_WEAK,0,CONSERVATIVE,development_2021_2023,10,3,0.01802721417733677,-0.06491159852536033,0.31110210641625424,0.6666666666666666
THIRD_PLUS,NON_WEAK,0,CONSERVATIVE,oos_2024_2026,10,5,0.028386749796416977,-0.1527621854364115,0.3050590969943506,0.6
THIRD_PLUS,NON_WEAK,1,BASE,all,8,7,0.02203830293017628,-0.15136142929545204,0.2798328787934937,0.5714285714285714
THIRD_PLUS,NON_WEAK,1,BASE,development_2021_2023,8,2,0.004602736263138896,-0.05662566224100296,0.11012320699722858,0.5
THIRD_PLUS,NON_WEAK,1,BASE,oos_2024_2026,8,5,0.040575421803987766,-0.15136142929545204,0.3897212760950104,0.6
THIRD_PLUS,NON_WEAK,1,CONSERVATIVE,all,8,7,0.020510461096348465,-0.15322642533480257,0.2647102901004095,0.5714285714285714
THIRD_PLUS,NON_WEAK,1,CONSERVATIVE,development_2021_2023,8,2,0.0037586499487798353,-0.05766285122710746,0.09536075108309636,0.5
THIRD_PLUS,NON_WEAK,1,CONSERVATIVE,oos_2024_2026,8,5,0.03830568925526556,-0.15322642533480269,0.3729437984939466,0.6
THIRD_PLUS,WEAK,0,BASE,all,4,4,0.0011375062138063718,-0.07861046310936937,0.04881773926416244,0.5
THIRD_PLUS,WEAK,0,BASE,development_2021_2023,4,2,0.0003937635447928134,-0.02292950021501028,0.029732498042720733,0.5
THIRD_PLUS,WEAK,0,BASE,oos_2024_2026,4,2,0.0019158900023710235,-0.07861046310936926,0.06405908028130976,0.5
THIRD_PLUS,WEAK,0,CONSERVATIVE,all,4,4,0.00028202943923627544,-0.07962345794107817,0.032977088993629514,0.5
THIRD_PLUS,WEAK,0,CONSERVATIVE,development_2021_2023,4,2,-0.0004467863106847325,-0.024003736306095647,-0.011352722570414269,0.5
THIRD_PLUS,WEAK,0,CONSERVATIVE,oos_2024_2026,4,2,0.001041154397614763,-0.07962345794107828,0.05230426730307524,0.5
THIRD_PLUS,WEAK,1,BASE,all,2,2,-0.01962302743472344,-0.09697677001312521,-0.5456889878986076,0.0
THIRD_PLUS,WEAK,1,BASE,development_2021_2023,2,1,-0.007663133088626983,-0.019933270531523384,-0.6270053631580971,0.0
THIRD_PLUS,WEAK,1,BASE,oos_2024_2026,2,1,-0.03198164068830933,-0.07861046310936926,-0.6432675209026769,0.0
THIRD_PLUS,WEAK,1,CONSERVATIVE,all,2,2,-0.020041985354005365,-0.09896130614094234,-0.5488060266699587,0.0
THIRD_PLUS,WEAK,1,CONSERVATIVE,development_2021_2023,2,1,-0.008080110844083,-0.02101080081485407,-0.6270053631580971,0.0
THIRD_PLUS,WEAK,1,CONSERVATIVE,oos_2024_2026,2,1,-0.032404303425190406,-0.07962345794107817,-0.643267520902677,0.0
