family,label,cost,period,cagr,max_drawdown,sharpe,active_days,active_win_rate,trade_rows
book_regime,PANIC,BASE,all,-0.278656706238833,-0.852994731003331,-1.4707038488321396,535,0.4074766355140187,1605
book_regime,PANIC,BASE,development_2021_2023,-0.3159674058667985,-0.6725382991042178,-1.9506512742002649,280,0.38571428571428573,840
book_regime,PANIC,BASE,oos_2024_2026,-0.23907531002015225,-0.5657395449561216,-1.0818232300809676,255,0.43137254901960786,765
book_regime,PANIC,CONSERVATIVE,all,-0.3563595835197314,-0.9146000850470648,-2.012005062915572,535,0.38691588785046727,1605
book_regime,PANIC,CONSERVATIVE,development_2021_2023,-0.3919081609763643,-0.7539932110139281,-2.566966619384843,280,0.36428571428571427,840
book_regime,PANIC,CONSERVATIVE,oos_2024_2026,-0.3187755568568411,-0.6528554544981671,-1.5631450738885904,255,0.4117647058823529,765
book_regime,BALANCE,BASE,all,-0.18871737623928408,-0.7423933607849099,-1.1677263569356058,372,0.4166666666666667,1116
book_regime,BALANCE,BASE,development_2021_2023,-0.2828106558915373,-0.5885773903154649,-2.359069666419897,184,0.3532608695652174,552
book_regime,BALANCE,BASE,oos_2024_2026,-0.07943877270302646,-0.39312758433184625,-0.3288001996346709,188,0.4787234042553192,564
book_regime,BALANCE,CONSERVATIVE,all,-0.25052975150020884,-0.8123417467912094,-1.6332463562915815,372,0.3897849462365591,1116
book_regime,BALANCE,CONSERVATIVE,development_2021_2023,-0.33618235428108234,-0.6613684929141874,-2.882779602064237,184,0.33152173913043476,552
book_regime,BALANCE,CONSERVATIVE,oos_2024_2026,-0.15154950088722752,-0.45932633446664306,-0.7504987543753964,188,0.44680851063829785,564
book_regime,PROFIT_POSITIVE,BASE,all,-0.02784323534934452,-0.34303880254328756,-0.20391546739531483,171,0.4853801169590643,513
book_regime,PROFIT_POSITIVE,BASE,development_2021_2023,-0.10306576782239507,-0.29430931658851145,-1.0686431746277925,91,0.42857142857142855,273
book_regime,PROFIT_POSITIVE,BASE,oos_2024_2026,0.0563118520721666,-0.09933556498181273,0.5213659289832724,80,0.55,240
