name,cost,period,cagr,max_drawdown,sharpe,calmar,active_days,active_win_rate
CORE_X02,BASE,all,0.07819773384604245,-0.4406616638727361,0.4878823292944887,0.17745526842250137,359,0.5041782729805014
CORE_X02,BASE,development_2021_2023,-0.18916728201520017,-0.43608280903830476,-1.4040166634097186,-0.43378752405390975,181,0.4419889502762431
CORE_X02,BASE,oos_2024_2026,0.44749324435247306,-0.13289064116300164,1.6998600148077565,3.367379677276029,178,0.5674157303370787
CORE_X02,CONSERVATIVE,all,-0.0011888662498403813,-0.5312968076741134,0.09267712113878408,-0.002237668724276634,359,0.48746518105849584
CORE_X02,CONSERVATIVE,development_2021_2023,-0.2485609596549625,-0.5243810971179729,-1.9231956669304135,-0.4740082375605587,181,0.425414364640884
CORE_X02,CONSERVATIVE,oos_2024_2026,0.33990727959937295,-0.13765536910909282,1.3765924743448255,2.469262781388455,178,0.550561797752809
REVERSAL_X06,BASE,all,-0.3632437462280076,-0.9110402501582568,-2.04407141956208,-0.3987131700985862,537,0.37243947858473
REVERSAL_X06,BASE,development_2021_2023,-0.38887832860472127,-0.7306452060288755,-2.4707448812916764,-0.5322396224541198,275,0.3527272727272727
REVERSAL_X06,BASE,oos_2024_2026,-0.3369441145976183,-0.6721799842146505,-1.6879399639198867,-0.5012706752809531,262,0.3931297709923664
REVERSAL_X06,CONSERVATIVE,all,-0.4320769686323215,-0.9497372127907961,-2.5733559405416457,-0.4549437073889801,537,0.34450651769087526
REVERSAL_X06,CONSERVATIVE,development_2021_2023,-0.4555817567501439,-0.798142511840042,-3.0479039963747256,-0.5708025195899455,275,0.33454545454545453
REVERSAL_X06,CONSERVATIVE,oos_2024_2026,-0.408193649245173,-0.7509986492580641,-2.17718643815462,-0.5435344652729278,262,0.3549618320610687
OVERNIGHT_X07,BASE,all,-0.4484700460420711,-0.9531358027377441,-2.7419336564234764,-0.4705206170557291,1253,0.39265762170790103
OVERNIGHT_X07,BASE,development_2021_2023,-0.555173143858759,-0.8791901321866756,-4.16616919817634,-0.6314597076720612,641,0.35257410296411856
OVERNIGHT_X07,BASE,oos_2024_2026,-0.31315920020496857,-0.616663519035791,-1.5410602565410114,-0.5078283221530945,612,0.434640522875817
OVERNIGHT_X07,CONSERVATIVE,all,-0.5776812489299303,-0.9881150633440684,-4.022786090877234,-0.5846295339076091,1253,0.3463687150837989
OVERNIGHT_X07,CONSERVATIVE,development_2021_2023,-0.6602253729152852,-0.9398012570999277,-5.587367224716514,-0.7025159499707759,641,0.31201248049922
OVERNIGHT_X07,CONSERVATIVE,oos_2024_2026,-0.473337256706462,-0.8036109641766376,-2.715340567038553,-0.5890129401002301,612,0.38235294117647056
OVERNIGHT_VS_INTRADAY_X07B,BASE,all,-0.4613648968602483,-0.9717790582265471,-2.655909658474555,-0.47476316036509203,1253,0.3902633679169992
OVERNIGHT_VS_INTRADAY_X07B,BASE,development_2021_2023,-0.583446107561636,-0.8997477235262463,-4.362492521221633,-0.6484552195086675,641,0.3541341653666147
OVERNIGHT_VS_INTRADAY_X07B,BASE,oos_2024_2026,-0.2995555382018841,-0.7189037209686635,-1.3091172172306498,-0.41668380544512645,612,0.42810457516339867
OVERNIGHT_VS_INTRADAY_X07B,CONSERVATIVE,all,-0.5875551229664846,-0.9923107739449598,-3.853868395183494,-0.5921079750355248,1253,0.3559457302474062
OVERNIGHT_VS_INTRADAY_X07B,CONSERVATIVE,development_2021_2023,-0.6818212715578671,-0.9501429653154997,-5.7388762791338515,-0.7175986103643518,641,0.31357254290171604
OVERNIGHT_VS_INTRADAY_X07B,CONSERVATIVE,oos_2024_2026,-0.4629061030074971,-0.845145904206926,-2.382845929981566,-0.5477232992590578,612,0.40032679738562094
SELECTED_ENSEMBLE,BASE,all,0.07819773384604245,-0.4406616638727361,0.4878823292944887,0.17745526842250137,359,0.5041782729805014
SELECTED_ENSEMBLE,BASE,development_2021_2023,-0.18916728201520017,-0.43608280903830476,-1.4040166634097186,-0.43378752405390975,181,0.4419889502762431
SELECTED_ENSEMBLE,BASE,oos_2024_2026,0.44749324435247306,-0.13289064116300164,1.6998600148077565,3.367379677276029,178,0.5674157303370787
SELECTED_ENSEMBLE,CONSERVATIVE,all,-0.0011888662498403813,-0.5312968076741134,0.09267712113878408,-0.002237668724276634,359,0.48746518105849584
SELECTED_ENSEMBLE,CONSERVATIVE,development_2021_2023,-0.2485609596549625,-0.5243810971179729,-1.9231956669304135,-0.4740082375605587,181,0.425414364640884
SELECTED_ENSEMBLE,CONSERVATIVE,oos_2024_2026,0.33990727959937295,-0.13765536910909282,1.3765924743448255,2.469262781388455,178,0.550561797752809
