setup,variant,delay_bars,h03_climax_veto_candidate,instrument,setup_date,trade_date,exit_date,industry_code,trigger_datetime,entry_datetime,entry_price,exit_open,exit_0935,exit_0940,exit_0945,exit_1000,rank,net_return,experiment
H16_LOW_OPEN_RECLAIM,VWAP,0,False,SH600006,2021-05-14,2021-05-17,2021-05-18,C36,2021-05-17 09:35:00,2021-05-17 09:40:00,7.11,7.15,7.17,7.21,7.15,7.08,1,-0.006706497242342513,H16_LOW_OPEN_RECLAIM|VWAP|VETO0|D0|EXIT_10:00
H16_LOW_OPEN_RECLAIM,VWAP,0,False,SH600707,2021-05-14,2021-05-17,2021-05-18,C39,2021-05-17 09:35:00,2021-05-17 09:40:00,11.4,11.26,11.24,11.1,11.12,10.94,2,-0.04274772224204615,H16_LOW_OPEN_RECLAIM|VWAP|VETO0|D0|EXIT_10:00
H16_LOW_OPEN_RECLAIM,VWAP,0,False,SH601238,2021-05-14,2021-05-17,2021-05-18,C36,2021-05-17 09:35:00,2021-05-17 09:40:00,12.16,12.35,12.42,12.39,12.27,12.15,3,-0.0033179409198634824,H16_LOW_OPEN_RECLAIM|VWAP|VETO0|D0|EXIT_10:00
H16_LOW_OPEN_RECLAIM,VWAP,0,False,SH600155,2021-05-17,2021-05-18,2021-05-19,J67,2021-05-18 09:35:00,2021-05-18 09:40:00,11.81,11.0,11.31,11.07,11.05,11.21,1,-0.05317513909446825,H16_LOW_OPEN_RECLAIM|VWAP|VETO0|D0|EXIT_10:00
H16_LOW_OPEN_RECLAIM,VWAP,0,False,SH601066,2021-05-17,2021-05-18,2021-05-19,J67,2021-05-18 09:35:00,2021-05-18 09:40:00,30.14,29.92,30.37,30.25,30.27,30.3,2,0.002797674785044668,H16_LOW_OPEN_RECLAIM|VWAP|VETO0|D0|EXIT_10:00
H16_LOW_OPEN_RECLAIM,VWAP,0,False,SH601456,2021-05-17,2021-05-18,2021-05-19,J67,2021-05-18 09:35:00,2021-05-18 09:40:00,15.13,15.07,15.37,15.15,15.3,15.31,3,0.009369553124636498,H16_LOW_OPEN_RECLAIM|VWAP|VETO0|D0|EXIT_10:00
H16_LOW_OPEN_RECLAIM,VWAP,0,False,SH601099,2021-05-18,2021-05-19,2021-05-20,J67,2021-05-19 09:35:00,2021-05-19 09:40:00,3.57,3.51,3.52,3.53,3.49,3.56,1,-0.005291750763553704,H16_LOW_OPEN_RECLAIM|VWAP|VETO0|D0|EXIT_10:00
H16_LOW_OPEN_RECLAIM,VWAP,0,False,SZ002670,2021-05-18,2021-05-19,2021-05-20,J67,2021-05-19 09:35:00,2021-05-19 09:40:00,10.43,10.45,10.63,10.66,10.54,10.72,2,0.02523733885557289,H16_LOW_OPEN_RECLAIM|VWAP|VETO0|D0|EXIT_10:00
H16_LOW_OPEN_RECLAIM,VWAP,0,False,SH601238,2021-05-18,2021-05-19,2021-05-20,C36,2021-05-19 10:10:00,2021-05-19 10:15:00,12.19,12.55,12.9,12.77,12.74,12.86,3,0.05232818077294632,H16_LOW_OPEN_RECLAIM|VWAP|VETO0|D0|EXIT_10:00
H16_LOW_OPEN_RECLAIM,VWAP,0,False,SH600006,2021-05-19,2021-05-20,2021-05-21,C36,2021-05-20 09:35:00,2021-05-20 09:40:00,7.42,7.15,7.17,7.16,7.14,7.15,1,-0.03879488264768349,H16_LOW_OPEN_RECLAIM|VWAP|VETO0|D0|EXIT_10:00
H16_LOW_OPEN_RECLAIM,VWAP,0,False,SH600196,2021-05-19,2021-05-20,2021-05-21,C27,2021-05-20 09:35:00,2021-05-20 09:40:00,64.15,64.29,64.33,64.41,64.55,65.1,2,0.012274427387945819,H16_LOW_OPEN_RECLAIM|VWAP|VETO0|D0|EXIT_10:00
H16_LOW_OPEN_RECLAIM,VWAP,0,False,SH600316,2021-05-19,2021-05-20,2021-05-21,C37,2021-05-20 09:35:00,2021-05-20 09:40:00,36.5,37.18,36.17,36.51,36.32,36.08,3,-0.013975735971602177,H16_LOW_OPEN_RECLAIM|VWAP|VETO0|D0|EXIT_10:00
H16_LOW_OPEN_RECLAIM,VWAP,0,False,SH600588,2021-05-20,2021-05-21,2021-05-24,I65,2021-05-21 09:35:00,2021-05-21 09:40:00,35.15,33.75,33.87,33.49,33.72,33.8,1,-0.04080852843859373,H16_LOW_OPEN_RECLAIM|VWAP|VETO0|D0|EXIT_10:00
H16_LOW_OPEN_RECLAIM,VWAP,0,False,SH600733,2021-05-20,2021-05-21,2021-05-24,C36,2021-05-21 09:35:00,2021-05-21 09:40:00,18.62,18.26,17.69,17.78,17.58,17.44,2,-0.06571206259940787,H16_LOW_OPEN_RECLAIM|VWAP|VETO0|D0|EXIT_10:00
H16_LOW_OPEN_RECLAIM,VWAP,0,False,SH601600,2021-05-20,2021-05-21,2021-05-24,C32,2021-05-21 09:35:00,2021-05-21 09:40:00,5.2,5.2,5.2,5.23,5.28,5.28,3,0.01284856389408584,H16_LOW_OPEN_RECLAIM|VWAP|VETO0|D0|EXIT_10:00
H16_LOW_OPEN_RECLAIM,VWAP,0,False,SH600556,2021-05-21,2021-05-24,2021-05-25,I65,2021-05-24 09:35:00,2021-05-24 09:40:00,10.08,10.28,10.22,10.22,10.33,10.34,1,0.02323160142077807,H16_LOW_OPEN_RECLAIM|VWAP|VETO0|D0|EXIT_10:00
H16_LOW_OPEN_RECLAIM,VWAP,0,False,SH601216,2021-05-21,2021-05-24,2021-05-25,C26,2021-05-24 09:35:00,2021-05-24 09:40:00,5.6,5.61,5.58,5.63,5.62,5.61,2,-0.0007163722294953878,H16_LOW_OPEN_RECLAIM|VWAP|VETO0|D0|EXIT_10:00
H16_LOW_OPEN_RECLAIM,VWAP,0,False,SH603198,2021-05-21,2021-05-24,2021-05-25,C15,2021-05-24 09:35:00,2021-05-24 09:40:00,41.06,42.87,41.56,42.06,41.73,41.86,3,0.01693739298713548,H16_LOW_OPEN_RECLAIM|VWAP|VETO0|D0|EXIT_10:00
H16_LOW_OPEN_RECLAIM,VWAP,0,False,SH600572,2021-05-24,2021-05-25,2021-05-26,C27,2021-05-25 09:35:00,2021-05-25 09:40:00,4.69,4.68,4.64,4.63,4.65,4.68,1,-0.004624497200423572,H16_LOW_OPEN_RECLAIM|VWAP|VETO0|D0|EXIT_10:00
H16_LOW_OPEN_RECLAIM,VWAP,0,False,SH600760,2021-05-24,2021-05-25,2021-05-26,C37,2021-05-25 09:35:00,2021-05-25 09:40:00,71.56,75.7,76.15,76.67,77.07,77.86,2,0.08532049752942639,H16_LOW_OPEN_RECLAIM|VWAP|VETO0|D0|EXIT_10:00
H16_LOW_OPEN_RECLAIM,VWAP,0,False,SH600917,2021-05-24,2021-05-25,2021-05-26,D45,2021-05-25 09:35:00,2021-05-25 09:40:00,10.42,10.16,10.09,10.07,10.1,10.36,3,-0.008241402131277997,H16_LOW_OPEN_RECLAIM|VWAP|VETO0|D0|EXIT_10:00
H16_LOW_OPEN_RECLAIM,VWAP,0,False,SH600155,2021-05-25,2021-05-26,2021-05-27,J67,2021-05-26 09:35:00,2021-05-26 09:40:00,11.71,11.55,11.51,11.56,11.57,11.46,1,-0.02379357808050031,H16_LOW_OPEN_RECLAIM|VWAP|VETO0|D0|EXIT_10:00
H16_LOW_OPEN_RECLAIM,VWAP,0,False,SH600760,2021-05-25,2021-05-26,2021-05-27,C37,2021-05-26 09:35:00,2021-05-26 09:40:00,76.15,75.71,76.0,75.4,76.2,76.08,2,-0.003414568899294923,H16_LOW_OPEN_RECLAIM|VWAP|VETO0|D0|EXIT_10:00
H16_LOW_OPEN_RECLAIM,VWAP,0,False,SH603719,2021-05-25,2021-05-26,2021-05-27,F52,2021-05-26 09:35:00,2021-05-26 09:40:00,49.84,50.3,50.16,50.15,50.45,50.91,3,0.018917452578589344,H16_LOW_OPEN_RECLAIM|VWAP|VETO0|D0|EXIT_10:00
H16_LOW_OPEN_RECLAIM,VWAP,0,False,SH600010,2021-05-26,2021-05-27,2021-05-28,C31,2021-05-27 09:35:00,2021-05-27 09:40:00,1.63,1.64,1.64,1.63,1.63,1.63,1,-0.0024976264679458238,H16_LOW_OPEN_RECLAIM|VWAP|VETO0|D0|EXIT_10:00
