panic_variant,sync_bars,delay_bars,arm,exit,cost,period,cagr,max_drawdown,sharpe,active_days,active_win_rate,trade_rows,paired_days,selected_minus_control,selected_mean,control_mean,pnl_corr
DIVERGENCE,1,0,SELECTED_SYNC,OPEN,BASE,all,-0.02165722302745887,-0.24106218815983693,-0.1411065793615375,80.0,0.4375,176.0,,,,,
DIVERGENCE,1,0,SELECTED_SYNC,OPEN,BASE,development_2021_2023,-0.0893908526352869,-0.1988420969100928,-0.7611686494870508,40.0,0.3,84.0,,,,,
DIVERGENCE,1,0,SELECTED_SYNC,OPEN,BASE,oos_2024_2026,0.053134590805614446,-0.10273305136582234,0.538568704605001,40.0,0.575,92.0,,,,,
DIVERGENCE,1,0,SELECTED_SYNC,OPEN,CONSERVATIVE,all,-0.038224674414171766,-0.2706880456268873,-0.2949298047836669,80.0,0.3875,176.0,,,,,
DIVERGENCE,1,0,SELECTED_SYNC,OPEN,CONSERVATIVE,development_2021_2023,-0.10463477524653364,-0.22416492829583412,-0.9023149220363862,40.0,0.275,84.0,,,,,
DIVERGENCE,1,0,SELECTED_SYNC,OPEN,CONSERVATIVE,oos_2024_2026,0.03501440631015118,-0.10863565068076975,0.3781876903408448,40.0,0.5,92.0,,,,,
DIVERGENCE,1,0,SELECTED_SYNC,10:00,BASE,all,-0.0008421059488011862,-0.2594566608888228,0.06931378823742193,80.0,0.5,176.0,,,,,
DIVERGENCE,1,0,SELECTED_SYNC,10:00,BASE,development_2021_2023,-0.14177491591370972,-0.2594566608888228,-1.0692249478025782,40.0,0.375,84.0,,,,,
DIVERGENCE,1,0,SELECTED_SYNC,10:00,BASE,oos_2024_2026,0.16820623446974747,-0.10214063210456725,1.089362553702451,40.0,0.625,92.0,,,,,
DIVERGENCE,1,0,SELECTED_SYNC,10:00,CONSERVATIVE,all,-0.017762044672699262,-0.2905555259600109,-0.04916132309179786,80.0,0.4875,176.0,,,,,
DIVERGENCE,1,0,SELECTED_SYNC,10:00,CONSERVATIVE,development_2021_2023,-0.1561419105817332,-0.2905555259600109,-1.1852187431412156,40.0,0.375,84.0,,,,,
DIVERGENCE,1,0,SELECTED_SYNC,10:00,CONSERVATIVE,oos_2024_2026,0.14810613265735917,-0.1031277573788012,0.9831079337683667,40.0,0.6,92.0,,,,,
DIVERGENCE,1,0,CONTROL_STOCK_ONLY,OPEN,BASE,all,-0.11313296273585638,-0.4815423634940519,-0.8047802147136466,136.0,0.4338235294117647,345.0,,,,,
DIVERGENCE,1,0,CONTROL_STOCK_ONLY,OPEN,BASE,development_2021_2023,-0.15497180038075997,-0.3388645211462328,-1.5776260808065292,73.0,0.3972602739726027,185.0,,,,,
DIVERGENCE,1,0,CONTROL_STOCK_ONLY,OPEN,BASE,oos_2024_2026,-0.06844206770435679,-0.22879149712192626,-0.34344888472771185,63.0,0.47619047619047616,160.0,,,,,
DIVERGENCE,1,0,CONTROL_STOCK_ONLY,OPEN,CONSERVATIVE,all,-0.1385126516327333,-0.5501324022352927,-1.0105720543328025,136.0,0.40441176470588236,345.0,,,,,
DIVERGENCE,1,0,CONTROL_STOCK_ONLY,OPEN,CONSERVATIVE,development_2021_2023,-0.1806099341338664,-0.38920876001733196,-1.8472835350021792,73.0,0.3424657534246575,185.0,,,,,
DIVERGENCE,1,0,CONTROL_STOCK_ONLY,OPEN,CONSERVATIVE,oos_2024_2026,-0.09356152244548421,-0.2634675019611068,-0.5081366639922331,63.0,0.47619047619047616,160.0,,,,,
DIVERGENCE,1,0,CONTROL_STOCK_ONLY,10:00,BASE,all,-0.09628519540654779,-0.4982755353761149,-0.4665139826878301,136.0,0.4117647058823529,345.0,,,,,
DIVERGENCE,1,0,CONTROL_STOCK_ONLY,10:00,BASE,development_2021_2023,-0.21460754897077583,-0.4436812621870615,-1.4792078322218873,73.0,0.3835616438356164,185.0,,,,,
DIVERGENCE,1,0,CONTROL_STOCK_ONLY,10:00,BASE,oos_2024_2026,0.043511721125248926,-0.21323294514075886,0.31355622429302943,63.0,0.4444444444444444,160.0,,,,,
DIVERGENCE,1,0,CONTROL_STOCK_ONLY,10:00,CONSERVATIVE,all,-0.12214702094336982,-0.5515277631695548,-0.6255082562123533,136.0,0.3897058823529412,345.0,,,,,
DIVERGENCE,1,0,CONTROL_STOCK_ONLY,10:00,CONSERVATIVE,development_2021_2023,-0.23843633565178912,-0.48604390089082705,-1.6624482049586935,73.0,0.3561643835616438,185.0,,,,,
DIVERGENCE,1,0,CONTROL_STOCK_ONLY,10:00,CONSERVATIVE,oos_2024_2026,0.015373433057596753,-0.22695921942019437,0.17976502405961786,63.0,0.42857142857142855,160.0,,,,,
DIVERGENCE,1,0,PAIRED_SELECTED_MINUS_CONTROL,OPEN,BASE,all,,,,,,,80.0,-0.003073192040924557,-0.0010058798940768658,0.002067312146847692,0.5685122233385008
DIVERGENCE,1,0,PAIRED_SELECTED_MINUS_CONTROL,OPEN,BASE,development_2021_2023,,,,,,,40.0,-0.005108780771830415,-0.005671247457317817,-0.0005624666854874029,0.6820457083698308
DIVERGENCE,1,0,PAIRED_SELECTED_MINUS_CONTROL,OPEN,BASE,oos_2024_2026,,,,,,,40.0,-0.0010376033100187008,0.0036594876691640847,0.004697090979182785,0.5273972372269299
DIVERGENCE,1,0,PAIRED_SELECTED_MINUS_CONTROL,OPEN,CONSERVATIVE,all,,,,,,,80.0,-0.003069813250584117,-0.002104206650686145,0.000965606599897972,0.5685122536623016
DIVERGENCE,1,0,PAIRED_SELECTED_MINUS_CONTROL,OPEN,CONSERVATIVE,development_2021_2023,,,,,,,40.0,-0.005103163953821879,-0.006764456842838227,-0.0016612928890163462,0.6820456869624049
DIVERGENCE,1,0,PAIRED_SELECTED_MINUS_CONTROL,OPEN,CONSERVATIVE,oos_2024_2026,,,,,,,40.0,-0.0010364625473463535,0.002556043541465937,0.0035925060888122896,0.5273972372269298
DIVERGENCE,1,0,PAIRED_SELECTED_MINUS_CONTROL,10:00,BASE,all,,,,,,,80.0,-0.002176414878867938,0.0006439487982003241,0.002820363677068261,0.67879503803623
DIVERGENCE,1,0,PAIRED_SELECTED_MINUS_CONTROL,10:00,BASE,development_2021_2023,,,,,,,40.0,-0.0042934656021238905,-0.009341545125555786,-0.005048079523431897,0.7381959193893145
DIVERGENCE,1,0,PAIRED_SELECTED_MINUS_CONTROL,10:00,BASE,oos_2024_2026,,,,,,,40.0,-5.9364155611984354e-05,0.010629442721956435,0.01068880687756842,0.6219882548393201
DIVERGENCE,1,0,PAIRED_SELECTED_MINUS_CONTROL,10:00,CONSERVATIVE,all,,,,,,,80.0,-0.0021740220342510823,-0.00045619176447964094,0.0017178302697714413,0.6787950802813946
DIVERGENCE,1,0,PAIRED_SELECTED_MINUS_CONTROL,10:00,CONSERVATIVE,development_2021_2023,,,,,,,40.0,-0.004288745179078238,-0.010430719209582221,-0.006141974030503983,0.7381959145000225
DIVERGENCE,1,0,PAIRED_SELECTED_MINUS_CONTROL,10:00,CONSERVATIVE,oos_2024_2026,,,,,,,40.0,-5.9298889423925474e-05,0.00951833568062294,0.009577634570046867,0.6219882548393203
DIVERGENCE,1,1,SELECTED_SYNC,OPEN,BASE,all,-0.017467199316075988,-0.23977763927014628,-0.10778890881293328,80.0,0.4625,176.0,,,,,
DIVERGENCE,1,1,SELECTED_SYNC,OPEN,BASE,development_2021_2023,-0.07670464794345311,-0.19246908063111856,-0.6564801710084306,40.0,0.325,84.0,,,,,
DIVERGENCE,1,1,SELECTED_SYNC,OPEN,BASE,oos_2024_2026,0.04731828841781405,-0.10527919085053783,0.49657685304510574,40.0,0.6,92.0,,,,,
DIVERGENCE,1,1,SELECTED_SYNC,OPEN,CONSERVATIVE,all,-0.03410560539860896,-0.26239577315718343,-0.26541006317044835,80.0,0.45,176.0,,,,,
DIVERGENCE,1,1,SELECTED_SYNC,OPEN,CONSERVATIVE,development_2021_2023,-0.09216094215574655,-0.21043831980212802,-0.8021249737253603,40.0,0.3,84.0,,,,,
DIVERGENCE,1,1,SELECTED_SYNC,OPEN,CONSERVATIVE,oos_2024_2026,0.029298178949103804,-0.11116504058922883,0.3316458009108357,40.0,0.6,92.0,,,,,
DIVERGENCE,1,1,SELECTED_SYNC,10:00,BASE,all,-0.0010638043607791303,-0.23738433924011437,0.06476356661320382,80.0,0.4875,176.0,,,,,
DIVERGENCE,1,1,SELECTED_SYNC,10:00,BASE,development_2021_2023,-0.12990277145927043,-0.23325823794396405,-0.994978372332166,40.0,0.4,84.0,,,,,
DIVERGENCE,1,1,SELECTED_SYNC,10:00,BASE,oos_2024_2026,0.15130274264444643,-0.09146475029884571,1.0306478846084222,40.0,0.575,92.0,,,,,
DIVERGENCE,1,1,SELECTED_SYNC,10:00,CONSERVATIVE,all,-0.017979988799626145,-0.27501419313079745,-0.05793022149340614,80.0,0.4875,176.0,,,,,
DIVERGENCE,1,1,SELECTED_SYNC,10:00,CONSERVATIVE,development_2021_2023,-0.14446851006899186,-0.2654572968555543,-1.115137539375929,40.0,0.4,84.0,,,,,
DIVERGENCE,1,1,SELECTED_SYNC,10:00,CONSERVATIVE,oos_2024_2026,0.13149348152152496,-0.09246361285971028,0.9189752414088661,40.0,0.575,92.0,,,,,
DIVERGENCE,1,1,CONTROL_STOCK_ONLY,OPEN,BASE,all,-0.11171254201095326,-0.47680169709895925,-0.8044644021095986,136.0,0.40441176470588236,345.0,,,,,
DIVERGENCE,1,1,CONTROL_STOCK_ONLY,OPEN,BASE,development_2021_2023,-0.15392043027316915,-0.3359632582420452,-1.47565308844844,73.0,0.3424657534246575,185.0,,,,,
DIVERGENCE,1,1,CONTROL_STOCK_ONLY,OPEN,BASE,oos_2024_2026,-0.06660117447133862,-0.21209434659302417,-0.35279605406971426,63.0,0.47619047619047616,160.0,,,,,
DIVERGENCE,1,1,CONTROL_STOCK_ONLY,OPEN,CONSERVATIVE,all,-0.13713287943188912,-0.5460189085710155,-1.012731882114262,136.0,0.38235294117647056,345.0,,,,,
DIVERGENCE,1,1,CONTROL_STOCK_ONLY,OPEN,CONSERVATIVE,development_2021_2023,-0.17959046256818845,-0.38652842289514977,-1.7341457526851798,73.0,0.3287671232876712,185.0,,,,,
DIVERGENCE,1,1,CONTROL_STOCK_ONLY,OPEN,CONSERVATIVE,oos_2024_2026,-0.09177026888880568,-0.2599802364578121,-0.5243972924308193,63.0,0.4444444444444444,160.0,,,,,
DIVERGENCE,1,1,CONTROL_STOCK_ONLY,10:00,BASE,all,-0.09482348127567586,-0.5064056075577799,-0.4602123359797915,136.0,0.38235294117647056,345.0,,,,,
DIVERGENCE,1,1,CONTROL_STOCK_ONLY,10:00,BASE,development_2021_2023,-0.21359498103444063,-0.4412611487272845,-1.4090063507173605,73.0,0.3287671232876712,185.0,,,,,
DIVERGENCE,1,1,CONTROL_STOCK_ONLY,10:00,BASE,oos_2024_2026,0.0455590625044795,-0.1902302410063189,0.32665727617645446,63.0,0.4444444444444444,160.0,,,,,
DIVERGENCE,1,1,CONTROL_STOCK_ONLY,10:00,CONSERVATIVE,all,-0.1207271370399613,-0.5511360647463024,-0.6198816691769109,136.0,0.36764705882352944,345.0,,,,,
DIVERGENCE,1,1,CONTROL_STOCK_ONLY,10:00,CONSERVATIVE,development_2021_2023,-0.23745448900049304,-0.4838080745764419,-1.5866829038679298,73.0,0.3150684931506849,185.0,,,,,
DIVERGENCE,1,1,CONTROL_STOCK_ONLY,10:00,CONSERVATIVE,oos_2024_2026,0.01736556788731125,-0.2043578302927419,0.18870946058057778,63.0,0.42857142857142855,160.0,,,,,
DIVERGENCE,1,1,PAIRED_SELECTED_MINUS_CONTROL,OPEN,BASE,all,,,,,,,80.0,-0.002734531439971202,-0.0007505063862500744,0.0019840250537211273,0.5908456909354828
DIVERGENCE,1,1,PAIRED_SELECTED_MINUS_CONTROL,OPEN,BASE,development_2021_2023,,,,,,,40.0,-0.004597391348287037,-0.004788885175711561,-0.0001914938274245246,0.6972829332368852
DIVERGENCE,1,1,PAIRED_SELECTED_MINUS_CONTROL,OPEN,BASE,oos_2024_2026,,,,,,,40.0,-0.0008716715316553672,0.003287872403211414,0.00415954393486678,0.5445439657904863
DIVERGENCE,1,1,PAIRED_SELECTED_MINUS_CONTROL,OPEN,CONSERVATIVE,all,,,,,,,80.0,-0.002731524983200321,-0.001849113914875052,0.000882411068325271,0.59084571312999
DIVERGENCE,1,1,PAIRED_SELECTED_MINUS_CONTROL,OPEN,CONSERVATIVE,development_2021_2023,,,,,,,40.0,-0.004592336768567384,-0.005883064666820395,-0.00129072789825301,0.6972829144247978
DIVERGENCE,1,1,PAIRED_SELECTED_MINUS_CONTROL,OPEN,CONSERVATIVE,oos_2024_2026,,,,,,,40.0,-0.0008707131978332588,0.0021848368370702915,0.0030555500349035507,0.5445439657904863
