panic_variant,sync_bars,arm,delay_bars,instrument,setup_date,trade_date,exit_date,industry_code,trigger_datetime,entry_datetime,entry_price,exit_open,exit_0935,exit_0940,exit_0945,exit_1000,rank,net_return
DIVERGENCE,1,SELECTED_SYNC,0,SH600733,2021-05-20,2021-05-21,2021-05-24,C36,2021-05-21 14:15:00,2021-05-21 14:20:00,19.19,18.26,17.69,17.78,17.58,17.44,1,-0.09346318945289067
DIVERGENCE,1,SELECTED_SYNC,0,SH603986,2021-06-18,2021-06-21,2021-06-22,C39,2021-06-21 09:40:00,2021-06-21 09:45:00,157.49,159.99,158.1,156.83,158.57,161.8,1,0.02480083838647773
DIVERGENCE,1,SELECTED_SYNC,0,SH603290,2021-06-18,2021-06-21,2021-06-22,C39,2021-06-21 10:10:00,2021-06-21 10:15:00,291.0,284.51,279.96,280.88,280.2,284.93,2,-0.02330463474059008
DIVERGENCE,1,SELECTED_SYNC,0,SH600460,2021-06-18,2021-06-21,2021-06-22,C39,2021-06-21 13:15:00,2021-06-21 13:20:00,51.6,52.71,50.8,50.88,50.9,50.91,3,-0.015836320997734687
DIVERGENCE,1,SELECTED_SYNC,0,SH603650,2021-07-02,2021-07-05,2021-07-06,C26,2021-07-05 13:50:00,2021-07-05 13:55:00,47.59,48.61,46.96,47.1,46.51,47.45,1,-0.005432073458794373
DIVERGENCE,1,SELECTED_SYNC,0,SZ002212,2021-07-26,2021-07-27,2021-07-28,I65,2021-07-27 10:15:00,2021-07-27 10:20:00,19.49,19.26,19.65,19.63,19.29,19.35,1,-0.009662856447139268
DIVERGENCE,1,SELECTED_SYNC,0,SZ002368,2021-07-26,2021-07-27,2021-07-28,I65,2021-07-27 10:15:00,2021-07-27 10:20:00,22.5,22.12,22.5,22.31,21.91,22.45,2,-0.004714298409128181
DIVERGENCE,1,SELECTED_SYNC,0,SH600409,2021-07-26,2021-07-27,2021-07-28,C26,2021-07-27 11:30:00,2021-07-27 13:05:00,13.76,12.79,12.72,12.41,12.16,12.48,3,-0.09528854493604377
DIVERGENCE,1,SELECTED_SYNC,0,SH600010,2021-07-27,2021-07-28,2021-07-29,C31,2021-07-28 10:35:00,2021-07-28 10:40:00,2.54,2.53,2.5,2.53,2.56,2.59,1,0.017138247026779796
DIVERGENCE,1,SELECTED_SYNC,0,SH603228,2021-07-27,2021-07-28,2021-07-29,C39,2021-07-28 10:35:00,2021-07-28 10:40:00,29.48,29.78,29.37,29.37,29.46,29.71,2,0.0052847868940750775
